iteration,Episode_Reward/action_rate,Episode_Reward/angular_velocity,Episode_Reward/height,Episode_Reward/orientation,Episode_Reward/pose,Episode_Reward/upright,Episode_Reward/vertical_velocity,Episode_Termination/fallen,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/angular_velocity,reward/height,reward/orientation,reward/pose,reward/upright,reward/vertical_velocity
20,,,,,,,,,,-5.9435038566589355,5.852766480529681e-05,-0.057045914232730865,0.01533704623579979,0.049093008041381836,0.011890888214111328,1574.0,0.19720733165740967,137.23077392578125,-3.980907917022705,-0.022604094818234444,-0.14427220821380615,-0.29207804799079895,-0.40148234367370605,-0.5663526058197021,1.9951266050338745,-0.0018472643569111824
21,,,,,,,,,,-5.939589023590088,5.852766480529681e-05,-0.04930288344621658,0.008104200474917889,0.049993276596069336,0.01149296760559082,1561.0,0.19725041091442108,137.23077392578125,-3.980907917022705,-0.022412968799471855,-0.06731479614973068,-0.5207733511924744,-0.7607768177986145,-1.0679066181182861,1.995822548866272,-0.003909741528332233
22,,,,,,,,,,-5.937004566192627,5.852766480529681e-05,-0.048816390335559845,0.018141763284802437,0.04039120674133301,0.011891841888427734,1836.0,0.19720739126205444,137.23077392578125,-3.980907917022705,-0.024065569043159485,-0.18998223543167114,-1.3068159818649292,-0.9450492858886719,-1.4251598119735718,1.9762786626815796,-0.005843780934810638
23,,,,,,,,,,-5.950917720794678,5.852766480529681e-05,-0.051129985600709915,0.09084469079971313,0.03446197509765625,0.011206865310668945,2102.0,0.19709917902946472,137.23077392578125,-3.980907917022705,-0.024215349927544594,-0.8859997391700745,-4.556018352508545,-1.3273252248764038,-1.3398643732070923,1.8436740636825562,-0.006167998071759939
24,,,,,,,,,,-5.961338520050049,8.77914935699664e-05,-0.04957747459411621,0.1505604237318039,0.042520999908447266,0.011741161346435547,1769.0,0.19706641137599945,139.3125,-4.006015777587891,-0.024230385199189186,-0.6996204257011414,-6.699291706085205,-1.0330485105514526,-0.5565058588981628,1.8044214248657227,-0.01139840204268694
25,,,,,,,,,,-5.9537672996521,8.77914935699664e-05,-0.0491512157022953,0.0707874596118927,0.0483551025390625,0.010916709899902344,1619.0,0.19725561141967773,139.58824157714844,-4.004744052886963,-0.022793138399720192,-0.37556007504463196,-2.5598089694976807,-0.4140128195285797,-0.33230093121528625,1.9167413711547852,-0.005677680019289255
26,,,,,,,,,,-5.942271709442139,8.77914935699664e-05,-0.0469437800347805,0.023349422961473465,0.04804587364196777,0.011319160461425781,1617.0,0.1971042901277542,139.58824157714844,-4.004744052886963,-0.023709356784820557,-0.1826682835817337,-0.3149149715900421,-0.31661805510520935,-0.49685320258140564,1.9941688776016235,-0.0017572728684172034
27,,,,,,,,,,-5.976435661315918,8.77914935699664e-05,-0.04754747450351715,0.008036208339035511,0.04769301414489746,0.010993003845214844,1635.0,0.19689476490020752,139.58824157714844,-4.004744052886963,-0.02395610325038433,-0.09107974916696548,-0.5161028504371643,-0.7798319458961487,-1.039784550666809,1.9945639371871948,-0.0032413937151432037
28,,,,,,,,,,-6.000191688537598,5.852766480529681e-05,-0.04633055627346039,0.009918850846588612,0.04622483253479004,0.011041879653930664,1676.0,0.19677168130874634,139.58824157714844,-4.004744052886963,-0.023051612079143524,-0.10382383316755295,-1.0524296760559082,-1.0600756406784058,-1.574107050895691,1.9907903671264648,-0.0077578178606927395
29,,,,,,,,,,-6.014820575714111,5.852766480529681e-05,-0.06148345395922661,0.01704774796962738,0.03685498237609863,0.01106715202331543,2003.0,0.19672687351703644,139.58824157714844,-4.004744052886963,-0.022809548303484917,-0.5521690249443054,-2.769968032836914,-1.138315200805664,-1.71575129032135,1.9275461435317993,-0.0042521473951637745
30,,,,,,,,,,-6.019305229187012,8.77914935699664e-05,-0.05544160306453705,0.2734188437461853,0.03680276870727539,0.011338233947753906,1994.0,0.19670848548412323,141.1052703857422,-4.056035041809082,-0.023047909140586853,-1.1313673257827759,-8.440410614013672,-1.442055106163025,-0.9880401492118835,1.7310338020324707,-0.009945734404027462
