iteration,Episode_Reward/action_rate_l2,Episode_Reward/bat_tracking,Episode_Reward/joint_limit,Episode_Reward/loaded_exit,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/bat_tracking,reward/joint_limit,reward/loaded_exit,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel
20,,,,,,,,,,,,,,,,,,,-31.569517135620117,9.999999747378752e-06,-0.03444201871752739,1.2281687259674072,,,,,,,,,,,,,,4.204001426696777,0.01661205291748047,45.0,0.08150012046098709,121.55172729492188,25.249652862548828,-0.0378873236477375,1.849363923072815,0.0,3.684062430120427e-11,0.9865078330039978,0.9886718392372131,0.9905034899711609,0.9985712170600891,0.49259212613105774,0.4996570646762848,0.994798481464386,0.0
21,,,,,,,,,,,,,,,,,,,-31.5557804107666,9.999999747378752e-06,-0.02791229821741581,4.679140567779541,,,,,,,,,,,,,,4.101370811462402,0.021871089935302734,46.0,0.0815463438630104,123.38710021972656,25.662715911865234,-0.04149719327688217,1.7561249732971191,0.0,2.515402317047119,0.9745407104492188,0.9838736653327942,0.979357898235321,0.9971793293952942,0.48317527770996094,0.4996011555194855,0.9906982779502869,0.0
22,,,,,,,,,,,,,,,,,,,-31.540367126464844,9.999999747378752e-06,-0.04226219281554222,14.824989318847656,,,,,,,,,,,,,,3.7258758544921875,0.0169830322265625,51.0,0.08158804476261139,123.38710021972656,25.662715911865234,-0.04087768867611885,1.4112509489059448,0.0,10.058609008789062,0.9225974082946777,0.9443723559379578,0.9419770240783691,0.9919288158416748,0.45247402787208557,0.4988746643066406,0.9748411774635315,0.0
23,,,,,,,,,,,,,,,,,,,-31.528026580810547,1.4999999621068127e-05,-0.03846081346273422,4.212922096252441,,,,,,,,,,,,,,3.6806700229644775,0.016098976135253906,51.0,0.08161693066358566,123.38710021972656,25.662715911865234,-0.04128776118159294,1.2937895059585571,0.0,2.5311319828033447,0.9330961108207703,0.9437363147735596,0.9412506222724915,0.9908445477485657,0.4555702209472656,0.49793413281440735,0.974600613117218,0.0
24,,,,,,,,,,,,,,,,,,,-31.516971588134766,9.999999747378752e-06,-0.04457414522767067,6.252495765686035,,,,,,,,,,,,,,3.6648499965667725,0.01723003387451172,52.0,0.0816464051604271,124.21875,25.849641799926758,-0.040364064276218414,1.369282841682434,0.0,5.0186991691589355,0.931520938873291,0.9425498843193054,0.9525571465492249,0.9928655624389648,0.4622301757335663,0.49829936027526855,0.9778414368629456,0.0
25,,,,,,,,,,,,,,,,,,,-31.50653076171875,9.999999747378752e-06,-0.030677951872348785,0.795657753944397,,,,,,,,,,,,,,3.975872039794922,0.015841007232666016,48.0,0.08167991787195206,127.08333587646484,26.491846084594727,-0.041795339435338974,1.5139621496200562,0.0,0.0,0.9655062556266785,0.9684257507324219,0.9665675759315491,0.9945797920227051,0.4738757312297821,0.49890899658203125,0.9842608571052551,0.0
26,,,,,,,,,,,,,,,,,,,-31.497556686401367,9.999999747378752e-06,-0.039810411632061005,1.034615159034729,,,,,,,,,,,,,,4.047471046447754,0.016792774200439453,47.0,0.08169074356555939,127.70270538330078,26.63187599182129,-0.04277284815907478,1.8195544481277466,0.0,1.0036479640138521e-20,0.9843533635139465,0.9862728118896484,0.9894970059394836,0.9983952641487122,0.49254360795021057,0.4994896948337555,0.9943612217903137,0.0
27,,,,,,,,,,,,,,,,,,,-31.495197296142578,1.4999999621068127e-05,-0.03868526965379715,5.1867756843566895,,,,,,,,,,,,,,4.23130989074707,0.017015933990478516,45.0,0.08170205354690552,128.84616088867188,26.888042449951172,-0.04128769412636757,1.8028939962387085,0.0,2.5176334381103516,0.9768616557121277,0.9839916825294495,0.9850062727928162,0.9981040358543396,0.4871217906475067,0.4996844530105591,0.9924747347831726,0.0
28,,,,,,,,,,,,,,,,,,,-31.490306854248047,9.999999747378752e-06,-0.04613901674747467,17.41408920288086,,,,,,,,,,,,,,3.792130947113037,0.015966176986694336,50.0,0.08171238005161285,128.84616088867188,26.888042449951172,-0.041001904755830765,1.5171771049499512,0.0,10.060938835144043,0.9333017468452454,0.9545571208000183,0.954031765460968,0.9939387440681458,0.46115240454673767,0.49891307950019836,0.9791403412818909,0.0
29,,,,,,,,,,,,,,,,,,,-31.488872528076172,1.4999999621068127e-05,-0.0327657125890255,4.754761219024658,,,,,,,,,,,,,,3.6756889820098877,0.015830039978027344,52.0,0.08171092718839645,128.84616088867188,26.888042449951172,-0.040441881865262985,1.31829833984375,0.0,2.5044586658477783,0.9304718375205994,0.9407734274864197,0.9381741881370544,0.9901401400566101,0.45179954171180725,0.4981495440006256,0.9742748737335205,0.0
30,,,,,,,,,,,,,,,,,,,-31.488065719604492,9.999999747378752e-06,-0.040625572204589844,7.986205101013184,,,,,,,,,,,,,,3.582787036895752,0.015752077102661133,53.0,0.08172519505023956,129.375,27.006168365478516,-0.04183119907975197,1.2710529565811157,0.0,5.018799304962158,0.937351405620575,0.9497361183166504,0.9452217221260071,0.9917113780975342,0.4579942226409912,0.497897744178772,0.9746502041816711,0.0
31,,,,,,,,,,,,,,,,,,,-31.481285095214844,9.999999747378752e-06,-0.02877146005630493,0.7707692384719849,,,,,,,,,,,,,,3.8772008419036865,0.016820907592773438,49.0,0.0817442461848259,130.35714721679688,27.226455688476562,-0.040612589567899704,1.5085312128067017,0.0,0.0,0.9497516751289368,0.9544200897216797,0.9638121128082275,0.9942403435707092,0.4711931049823761,0.49897655844688416,0.9833896160125732,0.0
32,-0.041427504271268845,1.5408936738967896,0.0,3.2156522274017334,0.9539580345153809,0.9629967212677002,0.9631463885307312,0.9944887757301331,0.47089245915412903,0.4988712966442108,0.9833299517631531,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-31.47542381286621,9.999999747378752e-06,-0.024085169658064842,0.7940387725830078,0.12668085098266602,0.054269786924123764,0.009870125912129879,0.1269168108701706,0.08817800879478455,0.04712286591529846,0.021514637395739555,0.08121266961097717,0.16692274808883667,0.33276602625846863,0.0,0.0,0.0,4.037793159484863,0.015687942504882812,47.0,0.08176159113645554,131.6666717529297,27.51991844177246,-0.04200024902820587,1.7339566946029663,0.0,2.5487333179432914e-27,0.98612380027771,0.9876193404197693,0.9837478995323181,0.99753737449646,0.4880807101726532,0.49924755096435547,0.9915420413017273,0.0
33,,,,,,,,,,,,,,,,,,,-31.471858978271484,1.4999999621068127e-05,-0.04059075564146042,5.088193416595459,,,,,,,,,,,,,,4.312435150146484,0.016720056533813477,44.0,0.08175837248563766,132.06521606445312,27.60901641845703,-0.04051500931382179,1.8389935493469238,0.0,2.5123164653778076,0.9800865650177002,0.9858767986297607,0.9889028072357178,0.9986191391944885,0.4906785488128662,0.49968352913856506,0.9941613078117371,0.0
34,,,,,,,,,,,,,,,,,,,-31.471342086791992,9.999999747378752e-06,-0.04093686118721962,13.407535552978516,,,,,,,,,,,,,,3.8698580265045166,0.01655101776123047,49.0,0.08176816999912262,132.44680786132812,27.69471549987793,-0.043283332139253616,1.618856430053711,0.0,7.540010452270508,0.9454603791236877,0.9647937417030334,0.9652144312858582,0.9955573081970215,0.47056713700294495,0.49917587637901306,0.9838932156562805,0.0
35,,,,,,,,,,,,,,,,,,,-31.467803955078125,9.999999747378752e-06,-0.04614580422639847,5.733707427978516,,,,,,,,,,,,,,3.7609028816223145,0.016532182693481445,50.0,0.08177720010280609,132.44680786132812,27.69471549987793,-0.04116709157824516,1.3350048065185547,0.0,5.016275405883789,0.9269129633903503,0.9390977025032043,0.9353806972503662,0.9899396896362305,0.44790592789649963,0.4984268248081207,0.9735360145568848,0.0
36,,,,,,,,,,,,,,,,,,,-31.464054107666016,9.999999747378752e-06,-0.03711644187569618,4.282956123352051,,,,,,,,,,,,,,3.6744890213012695,0.018375873565673828,51.0,0.08179450035095215,132.44680786132812,27.69471549987793,-0.038515571504831314,1.2911373376846313,0.0,2.5067684650421143,0.9335398077964783,0.9457077980041504,0.9470653533935547,0.9921093583106995,0.46041932702064514,0.49778082966804504,0.9748983979225159,0.0
37,,,,,,,,,,,,,,,,,,,-31.45518684387207,9.999999747378752e-06,-0.0303196981549263,1.8606435060501099,,,,,,,,,,,,,,3.79148530960083,0.016546010971069336,50.0,0.08182728290557861,133.16326904296875,27.854537963867188,-0.04084446653723717,1.3653225898742676,0.0,2.510227918624878,0.9465486407279968,0.9535727500915527,0.9522243142127991,0.9923693537712097,0.46164143085479736,0.4985225200653076,0.9786245226860046,0.0
38,,,,,,,,,,,,,,,,,,,-31.443782806396484,9.999999747378752e-06,-0.03847809135913849,0.5578899383544922,,,,,,,,,,,,,,3.985595226287842,0.01658487319946289,47.0,0.08185644447803497,134.13461303710938,28.071229934692383,-0.041868656873703,1.7110710144042969,0.0,1.0494324199328555e-40,0.9763851165771484,0.9785552620887756,0.9822878837585449,0.9972619414329529,0.4863271415233612,0.49912750720977783,0.9906118512153625,0.0
39,,,,,,,,,,,,,,,,,,,-31.43577766418457,9.999999747378752e-06,-0.03112509846687317,0.7143308520317078,,,,,,,,,,,,,,4.077675819396973,0.015769004821777344,46.0,0.08187127113342285,134.72222900390625,28.20131492614746,-0.0413561575114727,1.8073371648788452,0.0,0.0018008056795224547,0.985724687576294,0.9898872375488281,0.9881577491760254,0.998328685760498,0.49059513211250305,0.4996373653411865,0.9939054846763611,0.0
40,,,,,,,,,,,,,,,,,,,-31.43317222595215,9.999999747378752e-06,-0.04661184176802635,6.261974811553955,,,,,,,,,,,,,,4.01570987701416,0.016455888748168945,47.0,0.08187105506658554,135.0,28.262678146362305,-0.0435650534927845,1.701097846031189,0.0,5.026389122009277,0.9622445106506348,0.9756634831428528,0.9733192920684814,0.99642014503479,0.4778783321380615,0.49943807721138,0.9880800247192383,0.0
41,,,,,,,,,,,,,,,,,,,-31.431766510009766,9.999999747378752e-06,-0.03633429482579231,6.126176357269287,,,,,,,,,,,,,,3.664870023727417,0.017938852310180664,52.0,0.08188147097826004,135.0,28.262678146362305,-0.04153752699494362,1.3308387994766235,0.0,7.538286209106445,0.9241566061973572,0.9412006735801697,0.932569682598114,0.9900098443031311,0.4445078670978546,0.4986400604248047,0.9719829559326172,0.0
42,,,,,,,,,,,,,,,,,,,-31.429386138916016,1.4999999621068127e-05,-0.04352434724569321,5.3866682052612305,,,,,,,,,,,,,,3.6672890186309814,0.016446828842163086,52.0,0.08188889920711517,135.0,28.262678146362305,-0.04009098932147026,1.338951587677002,0.0,5.014764308929443,0.9305562973022461,0.9402539730072021,0.9502935409545898,0.9926198124885559,0.4634653627872467,0.49776792526245117,0.9769180417060852,0.0
43,,,,,,,,,,,,,,,,,,,-31.42046546936035,9.999999747378752e-06,-0.03868631273508072,2.834643602371216,,,,,,,,,,,,,,3.7311182022094727,0.01590585708618164,51.0,0.08193320780992508,135.26785278320312,28.321868896484375,-0.04065844789147377,1.3393405675888062,0.0,2.5125277042388916,0.9422840476036072,0.9511591792106628,0.9488048553466797,0.992013156414032,0.4588422477245331,0.49834927916526794,0.9761297106742859,0.0
44,,,,,,,,,,,,,,,,,,,-31.40471076965332,9.999999747378752e-06,-0.04711170494556427,0.37095221877098083,,,,,,,,,,,,,,3.9624600410461426,0.016682863235473633,48.0,0.08197100460529327,136.25,28.541763305664062,-0.04140511527657509,1.5961912870407104,0.0,0.0,0.9690389633178711,0.9719316363334656,0.975315272808075,0.9961088299751282,0.48133692145347595,0.49882936477661133,0.9879514575004578,0.0
45,,,,,,,,,,,,,,,,,,,-31.394433975219727,9.999999747378752e-06,-0.033452391624450684,0.6252266764640808,,,,,,,,,,,,,,4.158234119415283,0.015478134155273438,46.0,0.08198970556259155,136.47540283203125,28.590965270996094,-0.04194754362106323,1.8400068283081055,0.0,3.291463282484308e-11,0.985554039478302,0.9881024360656738,0.9896047711372375,0.9984397888183594,0.4916657507419586,0.49958038330078125,0.9943838715553284,0.0
46,,,,,,,,,,,,,,,,,,,-31.388708114624023,9.999999747378752e-06,-0.03572804853320122,3.087374210357666,,,,,,,,,,,,,,4.538125038146973,0.016820192337036133,42.0,0.08200584352016449,136.90475463867188,28.684926986694336,-0.042670249938964844,1.7445684671401978,0.0,2.512378692626953,0.9737113118171692,0.982949435710907,0.9787154793739319,0.9970528483390808,0.4822186529636383,0.4995957612991333,0.9904144406318665,0.0
