iteration,Episode_Reward/action_rate,Episode_Reward/failure,Episode_Reward/lane,Episode_Reward/loaded_slip,Episode_Reward/upright,Episode_Reward/velocity,Episode_Termination/fallen,Episode_Termination/invalid_contact,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/failure,reward/lane,reward/loaded_slip,reward/upright,reward/velocity
63,,,,,,,,,,-72.68641662597656,1.4999999621068127e-05,-0.03164840489625931,0.06719842553138733,7.1862359046936035,0.015127182006835938,26.0,0.019787956029176712,366.1612854003906,11.620275497436523,-0.00022844853810966015,0.0,0.8385975956916809,-0.2689675986766815,0.9996433854103088,0.6702980399131775
64,,,,,,,,,,-72.71454620361328,9.999999747378752e-06,-0.045456819236278534,0.04839077591896057,6.791583061218262,0.015288829803466797,28.0,0.01974109187722206,366.1612854003906,11.620275497436523,-0.00021778116934001446,0.0,0.8467811942100525,-0.8513236045837402,0.9996176362037659,0.5824272632598877
65,,,,,,,,,,-72.7859878540039,2.2500000341096893e-05,-0.026424288749694824,0.06585171818733215,6.539068222045898,0.015036821365356445,29.0,0.01968538947403431,367.21875,11.639425277709961,-0.00023198565759230405,0.0,0.8455216884613037,-1.0976492166519165,0.9995713233947754,0.6250455975532532
66,,,,,,,,,,-72.87552642822266,1.4999999621068127e-05,-0.04476630315184593,0.060591213405132294,6.396296501159668,0.01561594009399414,29.0,0.019640231505036354,367.21875,11.639425277709961,-0.00022824853658676147,0.0,0.7792239189147949,-1.3449937105178833,0.9995471835136414,0.6929037570953369
67,,,,,,,,,,-72.91749572753906,9.999999747378752e-06,-0.039108894765377045,0.03966018557548523,6.382175922393799,0.01599287986755371,30.0,0.019627811387181282,367.21875,11.639425277709961,-0.0002160224103135988,0.0,0.599170446395874,-1.4843064546585083,0.9995220303535461,0.6461671590805054
68,,,,,,,,,,-72.94108581542969,1.4999999621068127e-05,-0.03360592573881149,0.0723198801279068,6.503559112548828,0.017522335052490234,29.0,0.019615299999713898,367.21875,11.639425277709961,-0.00022068472753744572,0.0,0.43557193875312805,-1.5629997253417969,0.9995614886283875,0.5096450448036194
69,,,,,,,,,,-72.93687438964844,1.4999999621068127e-05,-0.036955028772354126,0.08282055705785751,6.480561256408691,0.015375852584838867,29.0,0.01964249275624752,367.21875,11.639425277709961,-0.00022008747328072786,0.0,0.29626157879829407,-1.2580877542495728,0.999548614025116,0.5470742583274841
70,,,,,,,,,,-72.91619873046875,1.4999999621068127e-05,-0.03858581557869911,0.032170988619327545,6.713850021362305,0.014999151229858398,28.0,0.019628169015049934,367.21875,11.639425277709961,-0.00023840706853661686,0.0,0.2013770490884781,-0.6138832569122314,0.9994205832481384,0.5923129916191101
71,,,,,,,,,,-72.9665298461914,9.999999747378752e-06,-0.0389939621090889,0.031689684838056564,7.29057502746582,0.015192031860351562,26.0,0.01959058828651905,367.21875,11.639425277709961,-0.00022831844398751855,0.0,0.14165885746479034,-0.6223535537719727,0.9995012283325195,0.6953135132789612
72,,,,,,,,,,-72.99456024169922,2.2500000341096893e-05,-0.030650917440652847,0.01886560581624508,7.575249671936035,0.015160083770751953,25.0,0.019586823880672455,367.21875,11.639425277709961,-0.000235535015235655,0.0,0.08794444054365158,-0.35565200448036194,0.9996159076690674,0.8193174004554749
