iteration,Episode_Reward/action_rate,Episode_Reward/angular_velocity,Episode_Reward/height,Episode_Reward/orientation,Episode_Reward/pose,Episode_Reward/upright,Episode_Reward/vertical_velocity,Episode_Termination/fallen,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/angular_velocity,reward/height,reward/orientation,reward/pose,reward/upright,reward/vertical_velocity
25,,,,,,,,,,,-5.674921035766602,8.77914935699664e-05,-0.033289846032857895,0.00030907109612599015,0.05518221855163574,0.011596918106079102,1437.0,0.19901709258556366,30.350000381469727,0.5144503712654114,-0.022997891530394554,-0.013622994534671307,-0.1223839521408081,-0.003172348951920867,-0.08282541483640671,1.998832106590271,-0.008256655186414719
26,,,,,,,,,,,-5.678803443908691,5.852766480529681e-05,-0.053291965276002884,0.00030102100572548807,0.05589604377746582,0.011310100555419922,1428.0,0.19894646108150482,30.35714340209961,0.5148669481277466,-0.023631058633327484,-0.02416968159377575,-0.1452380120754242,-0.0036024951841682196,-0.09174605458974838,1.99850332736969,-0.006917168851941824
27,,,,,,,,,,,-5.6821184158325195,5.852766480529681e-05,-0.051008190959692,0.00030358214280568063,0.05416297912597656,0.011465072631835938,1462.0,0.1989918202161789,30.43678092956543,0.516294538974762,-0.023492926731705666,-0.013807743787765503,-0.1484883576631546,-0.0023471468593925238,-0.11004555970430374,1.9979448318481445,-0.005647710990160704
28,,,,,,,,,,,-5.678034782409668,3.9018443203531206e-05,-0.04818779602646828,0.0005491928895935416,0.053648948669433594,0.01161503791809082,1470.0,0.1989692598581314,30.415729522705078,0.5161518454551697,-0.0232046227902174,-0.015285472385585308,-0.13561959564685822,-0.0017928123706951737,-0.10659715533256531,1.9981451034545898,-0.005231040995568037
29,,,,,,,,,,,-5.6844353675842285,5.852766480529681e-05,-0.045843832194805145,0.0006310938042588532,0.05416107177734375,0.011518001556396484,1461.0,0.19893063604831696,30.478260040283203,0.5174161195755005,-0.022706612944602966,-0.012003249488770962,-0.11759638786315918,-0.004097448196262121,-0.07950761169195175,1.9988656044006348,-0.007441878784447908
30,,,,,,,,,,,-5.691245079040527,3.9018443203531206e-05,-0.0443461611866951,0.0004979496006853878,0.05419015884399414,0.01215672492980957,1446.0,0.1988673210144043,30.5473690032959,0.518889307975769,-0.023222466930747032,-0.011559584178030491,-0.13119029998779297,-0.0016406619688495994,-0.09946157783269882,1.9988452196121216,-0.00615655304864049
31,,,,,,,,,,,-5.696649551391602,5.852766480529681e-05,-0.04283667728304863,0.0004211088235024363,0.05556130409240723,0.011941909790039062,1422.0,0.1988787204027176,30.653060913085938,0.5209133625030518,-0.022618534043431282,-0.00737026147544384,-0.13649596273899078,-0.0019274558871984482,-0.11012435704469681,1.9990224838256836,-0.005663416814059019
32,,,,,,,,,,,-5.696317195892334,3.9018443203531206e-05,-0.04519505053758621,0.001969618024304509,0.05309891700744629,0.011872053146362305,1477.0,0.19888490438461304,30.850000381469727,0.5243046879768372,-0.023384837433695793,-0.007868659682571888,-0.1461264044046402,-0.0023661546874791384,-0.12317341566085815,1.9989694356918335,-0.0048187109641730785
33,,,,,,,,,,,-5.688819885253906,5.852766480529681e-05,-0.0377383828163147,0.0014767689863219857,0.05511283874511719,0.011425018310546875,1442.0,0.19901883602142334,31.09000015258789,0.5289753079414368,-0.0226274486631155,-0.009717084467411041,-0.14596302807331085,-0.0021742077078670263,-0.12463369220495224,1.9985567331314087,-0.006220352370291948
34,,,,,,,,,,,-5.66916561126709,5.852766480529681e-05,-0.03720344603061676,0.0012535428395494819,0.0528559684753418,0.01204681396484375,1479.0,0.19912311434745789,31.280000686645508,0.5324764251708984,-0.02397024631500244,-0.005549530033022165,-0.13173650205135345,-0.0027408599853515625,-0.11505984514951706,1.9994090795516968,-0.005678573157638311
