iteration,Episode_Reward/action_rate_l2,Episode_Reward/joint_limit,Episode_Reward/motion_body_ang_vel,Episode_Reward/motion_body_lin_vel,Episode_Reward/motion_body_ori,Episode_Reward/motion_body_pos,Episode_Reward/motion_global_root_ori,Episode_Reward/motion_global_root_pos,Episode_Reward/motion_joint_pos,Episode_Reward/motion_joint_vel,Episode_Reward/motion_world_foot_pos,Episode_Termination/anchor_ori,Episode_Termination/anchor_pos,Episode_Termination/clip_end,Episode_Termination/ee_body_pos,Episode_Termination/fallen,Episode_Termination/incidental_bat_support,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Metrics/motion/error_anchor_ang_vel,Metrics/motion/error_anchor_lin_vel,Metrics/motion/error_anchor_pos,Metrics/motion/error_anchor_rot,Metrics/motion/error_body_ang_vel,Metrics/motion/error_body_lin_vel,Metrics/motion/error_body_pos,Metrics/motion/error_body_rot,Metrics/motion/error_joint_pos,Metrics/motion/error_joint_vel,Metrics/motion/sampling_entropy,Metrics/motion/sampling_top1_bin,Metrics/motion/sampling_top1_prob,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate_l2,reward/joint_limit,reward/motion_body_ang_vel,reward/motion_body_lin_vel,reward/motion_body_ori,reward/motion_body_pos,reward/motion_global_root_ori,reward/motion_global_root_pos,reward/motion_joint_pos,reward/motion_joint_vel,reward/motion_world_foot_pos
20,,,,,,,,,,,,,,,,,,,-25.521766662597656,3.3749998692655936e-05,-0.03593969717621803,0.4638913869857788,,,,,,,,,,,,,,8.02374267578125,0.01586294174194336,23.0,0.10040916502475739,138.9583282470703,17.660058975219727,-0.060531627386808395,0.0,0.9715439677238464,0.9901490807533264,0.9889504313468933,0.9992725849151611,0.49193334579467773,0.4997003972530365,0.9904294013977051,0.0,0.9274552464485168
21,,,,,,,,,,,,,,,,,,,-25.5103702545166,2.2500000341096893e-05,-0.03403497859835625,0.4440172016620636,,,,,,,,,,,,,,7.545898914337158,0.0159299373626709,25.0,0.1004360243678093,138.9583282470703,17.660058975219727,-0.06145234778523445,0.0,0.9716251492500305,0.9893458485603333,0.9736881256103516,0.9978706240653992,0.4884726107120514,0.4973825216293335,0.9759871959686279,0.0,0.739881694316864
22,,,,,,,,,,,,,,,,,,,-25.503929138183594,3.3749998692655936e-05,-0.03505236655473709,0.3480517268180847,,,,,,,,,,,,,,7.10427713394165,0.01667499542236328,26.0,0.10044961422681808,138.9583282470703,17.660058975219727,-0.06026829779148102,0.0,0.9650710225105286,0.9617147445678711,0.9263116717338562,0.9887349009513855,0.4707603454589844,0.4753156900405884,0.9594697952270508,0.0,0.587705671787262
23,,,,,,,,,,,,,,,,,,,-25.501495361328125,1.4999999621068127e-05,-0.040567997843027115,2.360142469406128,,,,,,,,,,,,,,7.064713954925537,0.016291141510009766,27.0,0.10046371072530746,142.11538696289062,18.050073623657227,-0.06027212366461754,0.0,0.9469017386436462,0.9021160006523132,0.867892324924469,0.9631657600402832,0.4436742067337036,0.44242653250694275,0.951565682888031,0.0,0.5201681852340698
24,-0.014291089959442616,0.0,0.2261790782213211,0.22417032718658447,0.21958576142787933,0.23218858242034912,0.11018956452608109,0.11177977174520493,0.22999253869056702,0.0,0.1866779327392578,0.0,0.0,0.5,0.5,0.0,0.0,0.0,-25.489398956298828,3.3749998692655936e-05,-0.026926783844828606,1.393868088722229,1.2371950149536133,0.7826917767524719,0.2395327240228653,0.2848057746887207,1.1735926866531372,0.6523138284683228,0.10582869499921799,0.3019377291202545,0.20259293913841248,1.4501690864562988,1.0,0.5,0.09090909361839294,7.210660934448242,0.016522884368896484,26.0,0.10056646913290024,140.82142639160156,17.905635833740234,-0.06376234441995621,0.0,0.9621140360832214,0.9477391242980957,0.9153099060058594,0.9798333644866943,0.46573543548583984,0.4682300090789795,0.9602413177490234,0.0,0.5671237111091614
25,,,,,,,,,,,,,,,,,,,-25.456504821777344,1.4999999621068127e-05,-0.036810848861932755,1.516831874847412,,,,,,,,,,,,,,8.742018699645996,0.02399301528930664,21.0,0.1006496399641037,146.96665954589844,18.75450897216797,-0.060148272663354874,0.0,0.9686987400054932,0.9381408095359802,0.9007110595703125,0.975334107875824,0.45962318778038025,0.4598775804042816,0.9617133140563965,0.0,0.39029526710510254
26,,,,,,,,,,,,,,,,,,,-25.442487716674805,3.3749998692655936e-05,-0.033588457852602005,1.4927390813827515,,,,,,,,,,,,,,7.795565605163574,0.015926122665405273,24.0,0.10067691653966904,143.78125,18.343013763427734,-0.06089751422405243,0.0,0.9688482284545898,0.9467261433601379,0.9296291470527649,0.9803931713104248,0.46951568126678467,0.46936488151550293,0.9714717864990234,0.0,0.5820972919464111
27,,,,,,,,,,,,,,,,,,,-25.43893814086914,1.4999999621068127e-05,-0.03694654628634453,0.2652825117111206,,,,,,,,,,,,,,7.8418474197387695,0.01592421531677246,24.0,0.10066700726747513,143.78125,18.343013763427734,-0.060675039887428284,0.0,0.9804146885871887,0.9870915412902832,0.9726851582527161,0.996271550655365,0.4897211492061615,0.490346759557724,0.9767246246337891,0.0,0.6029157042503357
28,,,,,,,,,,,,,,,,,,,-25.44176483154297,2.2500000341096893e-05,-0.028976529836654663,0.2340277135372162,,,,,,,,,,,,,,7.621277332305908,0.017852783203125,25.0,0.10066580772399902,143.78125,18.343013763427734,-0.05956323817372322,0.0,0.9768875241279602,0.9796276688575745,0.9407534599304199,0.987247884273529,0.48105156421661377,0.468156099319458,0.9660062789916992,0.0,0.5722408890724182
29,,,,,,,,,,,,,,,,,,,-25.437156677246094,2.2500000341096893e-05,-0.03116949275135994,2.1140198707580566,,,,,,,,,,,,,,7.219941139221191,0.01674795150756836,26.0,0.10071104764938354,146.05882263183594,18.560522079467773,-0.0588286928832531,0.0,0.9533047080039978,0.9093759655952454,0.8494042754173279,0.9510359764099121,0.4390987455844879,0.42714306712150574,0.9485132694244385,0.0,0.5581197142601013
