iteration,Episode_Reward/action_rate,Episode_Reward/angular_velocity,Episode_Reward/height,Episode_Reward/orientation,Episode_Reward/pose,Episode_Reward/upright,Episode_Reward/vertical_velocity,Episode_Termination/fallen,Episode_Termination/time_out,Loss/entropy,Loss/learning_rate,Loss/surrogate,Loss/value,Perf/collection_time,Perf/learning_time,Perf/total_fps,Policy/mean_std,Train/mean_episode_length,Train/mean_reward,reward/action_rate,reward/angular_velocity,reward/height,reward/orientation,reward/pose,reward/upright,reward/vertical_velocity
23,,,,,,,,,,-5.943356037139893,5.852766480529681e-05,-0.06401613354682922,0.09434331953525543,0.03906106948852539,0.01177215576171875,1888.0,0.19707076251506805,139.3076934814453,-3.5291926860809326,-0.024193622171878815,-0.5688197016716003,-4.00931978225708,-0.3273277282714844,-1.4919551610946655,1.912967324256897,-0.006539028603583574
24,,,,,,,,,,-5.977780818939209,8.77914935699664e-05,-0.048141177743673325,0.6068381071090698,0.04175901412963867,0.011964797973632812,1786.0,0.1967928260564804,140.53334045410156,-3.6411564350128174,-0.02425721287727356,-1.2254363298416138,-9.747089385986328,-0.47639939188957214,-0.9601694941520691,1.776822566986084,-0.008375686593353748
25,,,,,,,,,,-6.0229105949401855,8.77914935699664e-05,-0.06048622354865074,0.2938331961631775,0.048004865646362305,0.011927127838134766,1601.0,0.1965187042951584,141.5,-3.736239433288574,-0.022724008187651634,-0.562690019607544,-3.654973030090332,-0.1260972023010254,-0.45827603340148926,1.9118067026138306,-0.003911623265594244
26,,,,,,,,,,-6.047632694244385,5.852766480529681e-05,-0.051310326904058456,0.24146495759487152,0.050601959228515625,0.012038230895996094,1532.0,0.1964665800333023,141.88235473632812,-3.8220090866088867,-0.02341177500784397,-0.33446213603019714,-2.1201508045196533,-0.2674928307533264,-0.3867906630039215,1.954241394996643,-0.00407286686822772
27,,,,,,,,,,-6.049002647399902,5.852766480529681e-05,-0.047007396817207336,0.014416887424886227,0.04992413520812988,0.012151718139648438,1546.0,0.19651873409748077,141.88235473632812,-3.8220090866088867,-0.023762172088027,-0.07640253007411957,-0.507581889629364,-0.48935627937316895,-0.7403934001922607,1.9939218759536743,-0.0038162944838404655
28,,,,,,,,,,-6.04380464553833,8.77914935699664e-05,-0.04694846644997597,0.011830509640276432,0.050312042236328125,0.012063026428222656,1539.0,0.1964832991361618,141.88235473632812,-3.8220090866088867,-0.02294323407113552,-0.06501869857311249,-0.9996182322502136,-0.6782339215278625,-1.2620030641555786,1.9958839416503906,-0.010228939354419708
29,,,,,,,,,,-6.060609340667725,3.9018443203531206e-05,-0.04108389467000961,0.035791024565696716,0.04326987266540527,0.011768102645874023,1744.0,0.19632992148399353,141.88235473632812,-3.8220090866088867,-0.022571444511413574,-0.32020559906959534,-2.7000248432159424,-0.4653457701206207,-1.5870851278305054,1.96298086643219,-0.009743177331984043
30,,,,,,,,,,-6.069372177124023,0.0001316872367169708,-0.03931821137666702,0.4352545738220215,0.03936314582824707,0.012379884719848633,1855.0,0.19643332064151764,142.38888549804688,-3.878107786178589,-0.022838691249489784,-1.4275521039962769,-8.766494750976562,-0.41553857922554016,-1.1936020851135254,1.7927464246749878,-0.006654396187514067
31,,,,,,,,,,-6.0502753257751465,5.852766480529681e-05,-0.059175197035074234,0.4368794560432434,0.05004000663757324,0.012345075607299805,1538.0,0.19653408229351044,143.4499969482422,-3.9961798191070557,-0.02239062450826168,-0.7843725085258484,-5.205698490142822,-0.2514876425266266,-0.48180675506591797,1.877623438835144,-0.006091775372624397
32,,,,,,,,,,-6.043404579162598,8.77914935699664e-05,-0.04220784455537796,0.19028091430664062,0.049638986587524414,0.011701822280883789,1565.0,0.19654609262943268,143.7142791748047,-4.041823387145996,-0.02309112809598446,-0.45099639892578125,-2.8779613971710205,-0.26802584528923035,-0.3482944965362549,1.9309321641921997,-0.0035064450930804014
